variant,lgbm,xgb,cat,mean,worst,recent,2016_may_aug,2016_sep_dec,2017_jan_apr
drop_start_week,0,1,4,0.9171082960715836,0.9137645958241634,0.9137645958241634,0.9216018115520209,0.9159584808385666,0.9137645958241634
drop_start_week,0,2,1,0.918427350645984,0.9158823019104398,0.9158823019104398,0.9211660031409324,0.9182337468865798,0.9158823019104398
drop_start_week,0,2,2,0.9185470394713163,0.9155241913987323,0.9155241913987323,0.9218893261800142,0.9182276008352027,0.9155241913987323
drop_start_week,0,2,3,0.9182927848450196,0.915088930751832,0.915088930751832,0.9220127541768798,0.9177766696063469,0.915088930751832
drop_start_week,0,2,4,0.9180030961922694,0.91471517514989,0.91471517514989,0.9219701558841016,0.9173239575428165,0.91471517514989
drop_start_week,0,3,1,0.9181629828189526,0.9158859822172423,0.9158859822172423,0.9206108156376414,0.9179921506019743,0.9158859822172423
drop_start_week,0,3,2,0.9185531556791684,0.9157965189568211,0.9157965189568211,0.9215262602629135,0.9183366878177703,0.9157965189568211
drop_start_week,0,3,3,0.9185470713307042,0.915523873347527,0.915523873347527,0.921889728950635,0.9182276116939508,0.915523873347527
drop_start_week,0,3,4,0.9183884270780157,0.9152270861372322,0.9152270861372322,0.9219987419989616,0.9179394530978531,0.9152270861372322
drop_start_week,0,4,1,0.9179356936278863,0.9158471193890314,0.9158471193890314,0.9202202659252748,0.9177396955693529,0.9158471193890314
drop_start_week,0,4,2,0.918427350645984,0.9158823019104398,0.9158823019104398,0.9211660031409324,0.9182337468865798,0.9158823019104398
drop_start_week,0,4,3,0.9185755794597963,0.9157413597906702,0.9157413597906702,0.9216500698319462,0.9183353087567724,0.9157413597906702
drop_start_week,0,4,4,0.9185470394713163,0.9155241913987323,0.9155241913987323,0.9218893261800142,0.9182276008352027,0.9155241913987323
drop_start_week,1,0,1,0.9173413990090195,0.91532474300251,0.91532474300251,0.9196686609606647,0.9170307930638834,0.91532474300251
drop_start_week,1,0,2,0.9172211772095819,0.9146850208665822,0.9146850208665822,0.9205628223383879,0.9164156884237754,0.9146850208665822
drop_start_week,1,0,3,0.9169168622505001,0.9141662793509768,0.9141662793509768,0.9207703022043086,0.9158140051962149,0.9141662793509768
drop_start_week,1,0,4,0.9166491215547983,0.9137839515117913,0.9137839515117913,0.9207968426683835,0.9153665704842202,0.9137839515117913
drop_start_week,1,1,0,0.9168435923790348,0.9157144768911869,0.9157144768911869,0.9173770445166679,0.9174392557292493,0.9157144768911869
drop_start_week,1,1,1,0.9184344505776775,0.9161252778858815,0.9161252778858815,0.9205422492390392,0.9186358246081121,0.9161252778858815
drop_start_week,1,1,2,0.9183814271960727,0.9156797790192344,0.9156797790192344,0.9212861135797887,0.9181783889891948,0.9156797790192344
drop_start_week,1,1,3,0.9180871671234613,0.9152045953734395,0.9152045953734395,0.9214653889030164,0.917591517093928,0.9152045953734395
drop_start_week,1,1,4,0.9177886619013392,0.9148063043928142,0.9148063043928142,0.9214796872600599,0.9170799940511435,0.9148063043928142
drop_start_week,1,2,0,0.9170943040344568,0.9157769512350564,0.9157769512350564,0.9180560309897652,0.9174499298785488,0.9157769512350564
drop_start_week,1,2,1,0.9184450587883889,0.916191447681849,0.916191447681849,0.9204189166352152,0.9187248120481024,0.916191447681849
drop_start_week,1,2,2,0.9186711377300991,0.916023456064346,0.916023456064346,0.9212861241790156,0.9187038329469358,0.916023456064346
drop_start_week,1,2,3,0.9185374229250529,0.9156941973405345,0.9156941973405345,0.9215855099410997,0.9183325614935244,0.9156941973405345
drop_start_week,1,2,4,0.918330209814804,0.9153489754752835,0.9153489754752835,0.921706023150577,0.9179356308185515,0.9153489754752835
